C3	56.52	52.07	270.00	0.1uF	0603
C4	59.69	55.88	0.00	0.1uF	0603
R1	66.67	71.76	180.00	240	0603
R10	63.50	61.60	270.00	240	0603
R11	61.60	34.29	0.00	100k	0603
R2	66.67	59.69	180.00	240	0603
R3	66.67	56.52	0.00	240	0603
R4	59.69	48.26	180.00	4.7k	0603
R5	62.87	52.07	90.00	4.7k	0603
R6	66.67	68.58	180.00	240	0603
R7	61.60	44.45	0.00	100k	0603
R8	61.60	39.37	0.00	100k	0603
R9	63.50	66.04	90.00	240	0603
TP1	68.58	73.03	0.00	TEST-POINT3	PAD.03X.03
TP2	67.95	58.42	0.00	TEST-POINT3	PAD.03X.03
TP3	61.60	64.77	0.00	TEST-POINT3	PAD.03X.03
TP4	80.01	29.21	0.00	TEST-POINT3	PAD.03X.03
TP5	77.47	29.21	0.00	TEST-POINT3	PAD.03X.03
TP6	82.55	29.21	0.00	TEST-POINT3	PAD.03X.03
TVS1	66.67	64.14	0.00	PE4105C3C6	SOT363
U2	59.69	52.07	0.00	BME280	PSON65P250X250X100-8N
